# wavelength[um] flux[W/sr/m2/um]
6.822486273506513932e+00 5.700601832904771404e-01
6.829312172160262762e+00 5.244286406884397511e-01
6.836144900126752688e+00 6.951836425009548792e-01
6.842984464238715425e+00 1.028933601733420078e+00
6.849830871335718996e+00 6.834336577905045784e-01
6.856684128264157962e+00 3.702599405481319939e-01
6.863544241877307606e+00 3.789296457493174231e-01
6.870411219035266193e+00 6.508346252404370036e-01
6.877285066604999386e+00 9.134988849354801488e-01
6.884165791460373107e+00 6.557996869428146525e-01
6.891053400482104685e+00 1.321754052895157905e+00
6.897947900557811707e+00 1.119542008966472935e+00
6.904849298582002248e+00 6.328195672344976153e-01
6.911757601456057998e+00 7.725084577707131972e-01
6.918672816088298205e+00 1.354573194339122599e+00
6.925594949393933497e+00 1.101087606736482316e+00
6.932524008295088969e+00 1.484561263104661188e+00
6.939459999720836159e+00 1.070152402345420750e+00
6.946402930607153969e+00 1.236479747649272376e+00
6.953352807896971299e+00 1.118980594200554624e+00
6.960309638540181254e+00 5.247868751743856031e-01
6.967273429493618941e+00 9.259826870673368848e-01
6.974244187721073907e+00 9.952486115225684937e-01
6.981221920193293684e+00 1.220277844978807646e+00
6.988206633888011332e+00 1.223007475436533431e+00
6.995198335789934774e+00 8.974692767205418864e-01
7.002197032890780548e+00 1.432609710113374790e+00
7.009202732189245388e+00 1.466190184287686327e+00
7.016215440691027538e+00 1.146438951388040861e+00
7.023235165408840075e+00 8.041086426976271628e-01
7.030261913362399362e+00 1.600465048939738733e+00
7.037295691578454360e+00 1.412116441126009203e+00
7.044336507090792843e+00 6.203419719730072224e-01
7.051384366940223636e+00 9.466831179880876856e-01
7.058439278174613030e+00 1.224802454642521354e+00
7.065501247848868793e+00 1.709269324325721762e+00
7.072570283024954385e+00 1.961961815201439308e+00
7.079646390771910269e+00 1.324993871191544770e+00
7.086729578165847698e+00 1.416818098211185983e+00
7.093819852289949601e+00 1.620444933431180567e+00
7.100917220234500782e+00 1.864424668952853636e+00
7.108021689096868378e+00 1.687988190143023814e+00
7.115133265981508082e+00 1.013271302070233304e+00
7.122251958000004990e+00 1.252635839261413864e+00
7.129377772271054070e+00 1.788247114876943655e+00
7.136510715920461934e+00 1.527292519376951763e+00
7.143650796081180587e+00 1.025935097728808865e+00
7.150798019893290558e+00 1.027375767091843750e+00
7.157952394504015103e+00 1.165388242770970528e+00
7.165113927067729094e+00 9.759945331207312558e-01
7.172282624745966118e+00 9.543248845912514211e-01
7.179458494707433580e+00 1.761088924141263057e+00
7.186641544127991388e+00 1.844874040005344717e+00
7.193831780190692804e+00 1.728187348568084092e+00
7.201029210085776455e+00 1.626627934325505676e+00
7.208233841010668996e+00 1.057244126319455413e+00
