# wavelength[um] flux[erg/cm2/s/cm]
7.072570283024954385e+00 5.427502109184964001e+07
7.079646390771910269e+00 3.312640569677743688e+07
7.086729578165847698e+00 3.675715909387567639e+07
7.093819852289949601e+00 4.245766122891889513e+07
7.100917220234500782e+00 5.279995583563312143e+07
7.108021689096868378e+00 4.522252674001189321e+07
7.115133265981508082e+00 1.767152234618803859e+07
7.122251958000004990e+00 2.613624389340302721e+07
7.129377772271054070e+00 4.755162978623729944e+07
7.136510715920461934e+00 3.860250353179772198e+07
7.143650796081180587e+00 1.676832635450138897e+07
7.150798019893290558e+00 1.562477512622246891e+07
7.157952394504015103e+00 2.543449146662073210e+07
7.165113927067729094e+00 1.381529673932571337e+07
7.172282624745966118e+00 1.280001980678941123e+07
7.179458494707433580e+00 4.229898020218762755e+07
7.186641544127991388e+00 4.901263812648651749e+07
7.193831780190692804e+00 4.433807416445378214e+07
7.201029210085776455e+00 3.757618134893189371e+07
